dimensions,budget,algorithm,rank,algo ID
35,2500,CMA,ngopt_7,0
40,2500,Cobyla,1,2
40,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
40,2500,CMA,4,0
40,2500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
40,2500,MetaModelOnePlusOne,ngopt_3,4
45,2500,Cobyla,1,2
45,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
45,2500,CMA,4,0
45,2500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
45,2500,MetaModelOnePlusOne,ngopt_3,4
50,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
50,2500,MetaModelOnePlusOne,3,4
50,2500,CMA,4,0
50,2500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
50,2500,Cobyla,ngopt_1,2
60,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
60,2500,MetaModelOnePlusOne,3,4
60,2500,CMA,4,0
60,2500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
60,2500,Cobyla,ngopt_1,2
70,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
70,2500,MetaModelOnePlusOne,3,4
70,2500,CMA,4,0
70,2500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
70,2500,Cobyla,ngopt_1,2
80,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
80,2500,MetaModelOnePlusOne,3,4
80,2500,CMA,4,0
80,2500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
80,2500,Cobyla,ngopt_1,2
90,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
90,2500,MetaModelOnePlusOne,3,4
90,2500,CMA,4,0
90,2500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
90,2500,Cobyla,ngopt_1,2
100,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
100,2500,CMA,3,0
100,2500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
100,2500,ChainMetaModelPowell,3,1
100,2500,Cobyla,ngopt_1,2
2,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
2,3000,ChainMetaModelPowell,2,1
2,3000,MetaModel,2,3
2,3000,CMA,4,0
2,3000,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,ngopt_18,32
3,3000,ChainMetaModelPowell,1,1
3,3000,MetaModel,1,3
3,3000,CMA,3,0
3,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,5
3,3000,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,ngopt_9,34
5,3000,CMA,1,0
5,3000,ConfPortfolio_scale2_NA_ngopt14s_1,1,38
5,3000,MetaModel,3,3
5,3000,ChainMetaModelPowell,3,1
5,3000,ConfPortfolio_scale2_NA_ngopt14s_7,ngopt_21,11
10,3000,CMA,2,0
10,3000,MetaModel,3,3
10,3000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
10,3000,ChainMetaModelPowell,3,1
10,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
15,3000,CMA,1,0
15,3000,MetaModel,3,3
15,3000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
15,3000,ChainMetaModelPowell,3,1
15,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_2,5
20,3000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
20,3000,ChainMetaModelPowell,2,1
20,3000,MetaModel,2,3
20,3000,CMA,5,0
20,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
25,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
25,3000,ChainMetaModelPowell,2,1
25,3000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
25,3000,MetaModel,2,3
25,3000,CMA,ngopt_7,0
30,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
30,3000,Cobyla,2,2
30,3000,MetaModelOnePlusOne,3,4
30,3000,ChainMetaModelPowell,4,1
30,3000,CMA,ngopt_7,0
35,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
35,3000,Cobyla,2,2
35,3000,MetaModelOnePlusOne,3,4
35,3000,ChainMetaModelPowell,4,1
35,3000,CMA,ngopt_7,0
40,3000,Cobyla,1,2
40,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
40,3000,CMA,4,0
40,3000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
40,3000,MetaModelOnePlusOne,ngopt_3,4
45,3000,Cobyla,1,2
45,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
45,3000,CMA,4,0
45,3000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
45,3000,MetaModelOnePlusOne,ngopt_3,4
50,3000,Cobyla,1,2
50,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
50,3000,CMA,4,0
50,3000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
50,3000,MetaModelOnePlusOne,ngopt_3,4
60,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
60,3000,MetaModelOnePlusOne,3,4
60,3000,CMA,4,0
60,3000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
60,3000,Cobyla,ngopt_1,2
70,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
70,3000,MetaModelOnePlusOne,3,4
70,3000,CMA,4,0
70,3000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
70,3000,Cobyla,ngopt_1,2
80,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
80,3000,MetaModelOnePlusOne,3,4
80,3000,CMA,4,0
80,3000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
80,3000,Cobyla,ngopt_1,2
90,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
90,3000,MetaModelOnePlusOne,3,4
90,3000,CMA,4,0
90,3000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
90,3000,Cobyla,ngopt_1,2
100,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
100,3000,CMA,3,0
100,3000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
100,3000,ChainMetaModelPowell,3,1
100,3000,Cobyla,ngopt_1,2
2,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
2,3500,ChainMetaModelPowell,2,1
2,3500,MetaModel,2,3
2,3500,CMA,4,0
2,3500,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,ngopt_19,31
3,3500,ChainMetaModelPowell,1,1
3,3500,MetaModel,1,3
3,3500,CMA,3,0
3,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
3,3500,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,ngopt_8,34
5,3500,CMA,1,0
5,3500,ConfPortfolio_scale2_NA_ngopt14s_1,1,38
5,3500,MetaModel,3,3
5,3500,ChainMetaModelPowell,3,1
5,3500,ConfPortfolio_scale2_NA_ngopt14s_7,ngopt_22,11
10,3500,CMA,1,0
10,3500,MetaModel,3,3
10,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
10,3500,ChainMetaModelPowell,3,1
10,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
15,3500,CMA,2,0
15,3500,MetaModel,3,3
15,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
15,3500,ChainMetaModelPowell,3,1
15,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
20,3500,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
20,3500,ChainMetaModelPowell,2,1
20,3500,MetaModel,2,3
20,3500,CMA,5,0
20,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
25,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
25,3500,ChainMetaModelPowell,2,1
25,3500,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
25,3500,MetaModel,4,3
25,3500,CMA,ngopt_5,0
30,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
30,3500,Cobyla,2,2
30,3500,ChainMetaModelPowell,3,1
30,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
30,3500,CMA,ngopt_7,0
35,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
35,3500,Cobyla,2,2
35,3500,ChainMetaModelPowell,3,1
35,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
35,3500,CMA,ngopt_7,0
40,3500,Cobyla,1,2
40,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
40,3500,MetaModelOnePlusOne,3,4
40,3500,ChainMetaModelPowell,4,1
40,3500,CMA,ngopt_4,0
45,3500,Cobyla,1,2
45,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
45,3500,CMA,3,0
45,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
45,3500,MetaModelOnePlusOne,ngopt_3,4
50,3500,Cobyla,1,2
50,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
50,3500,CMA,3,0
50,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
50,3500,MetaModelOnePlusOne,ngopt_7,4
60,3500,Cobyla,1,2
60,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
60,3500,CMA,4,0
60,3500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
60,3500,MetaModelOnePlusOne,ngopt_3,4
70,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
70,3500,CMA,3,0
70,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
70,3500,ChainMetaModelPowell,3,1
70,3500,Cobyla,ngopt_1,2
80,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
80,3500,MetaModelOnePlusOne,3,4
80,3500,CMA,4,0
80,3500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
80,3500,Cobyla,ngopt_1,2
90,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
90,3500,MetaModelOnePlusOne,3,4
90,3500,CMA,4,0
90,3500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
90,3500,Cobyla,ngopt_1,2
100,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
100,3500,CMA,3,0
100,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
100,3500,ChainMetaModelPowell,3,1
100,3500,Cobyla,ngopt_1,2
2,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
2,4000,ChainMetaModelPowell,2,1
2,4000,MetaModel,2,3
2,4000,CMA,4,0
2,4000,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,ngopt_22,30
3,4000,ChainMetaModelPowell,1,1
3,4000,MetaModel,1,3
3,4000,CMA,3,0
3,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
3,4000,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,ngopt_12,33
5,4000,CMA,1,0
5,4000,ConfPortfolio_scale2_NA_ngopt14s_1,1,38
5,4000,MetaModel,3,3
5,4000,ChainMetaModelPowell,3,1
5,4000,ConfPortfolio_scale2_NA_ngopt14s_8,ngopt_25,10
10,4000,CMA,1,0
10,4000,MetaModel,3,3
10,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
10,4000,ChainMetaModelPowell,3,1
10,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_2,5
15,4000,CMA,1,0
15,4000,MetaModel,3,3
15,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
15,4000,ChainMetaModelPowell,3,1
15,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_2,5
20,4000,CMA,2,0
20,4000,MetaModel,2,3
20,4000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
20,4000,ChainMetaModelPowell,2,1
20,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
25,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
25,4000,ChainMetaModelPowell,2,1
25,4000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
25,4000,MetaModel,4,3
25,4000,CMA,ngopt_5,0
30,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
30,4000,ChainMetaModelPowell,2,1
30,4000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
30,4000,MetaModel,2,3
30,4000,CMA,ngopt_6,0
35,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
35,4000,Cobyla,2,2
35,4000,ChainMetaModelPowell,3,1
35,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
35,4000,CMA,ngopt_7,0
40,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
40,4000,Cobyla,2,2
40,4000,MetaModelOnePlusOne,3,4
40,4000,ChainMetaModelPowell,4,1
40,4000,CMA,ngopt_4,0
45,4000,Cobyla,1,2
45,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
45,4000,CMA,3,0
45,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
45,4000,MetaModelOnePlusOne,ngopt_7,4
50,4000,Cobyla,1,2
50,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
50,4000,CMA,3,0
50,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
50,4000,MetaModelOnePlusOne,ngopt_7,4
60,4000,Cobyla,1,2
60,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
60,4000,CMA,4,0
60,4000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
60,4000,MetaModelOnePlusOne,ngopt_3,4
70,4000,Cobyla,1,2
70,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
70,4000,CMA,3,0
70,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
70,4000,MetaModelOnePlusOne,ngopt_7,4
80,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
80,4000,MetaModelOnePlusOne,3,4
80,4000,CMA,4,0
80,4000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
80,4000,Cobyla,ngopt_1,2
90,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
90,4000,CMA,3,0
90,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
90,4000,ChainMetaModelPowell,3,1
90,4000,Cobyla,ngopt_1,2
100,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
100,4000,CMA,3,0
100,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
100,4000,ChainMetaModelPowell,3,1
100,4000,Cobyla,ngopt_1,2
2,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
2,4500,ChainMetaModelPowell,2,1
2,4500,MetaModel,2,3
2,4500,CMA,4,0
2,4500,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,ngopt_23,29
3,4500,ChainMetaModelPowell,1,1
3,4500,MetaModel,1,3
3,4500,CMA,3,0
3,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
3,4500,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,ngopt_16,32
5,4500,CMA,1,0
5,4500,ConfPortfolio_scale2_NA_ngopt14s_1,1,38
5,4500,MetaModel,3,3
5,4500,ChainMetaModelPowell,3,1
5,4500,ConfPortfolio_scale2_NA_ngopt14s_8,ngopt_23,10
10,4500,CMA,1,0
10,4500,MetaModel,3,3
10,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
10,4500,ChainMetaModelPowell,3,1
10,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_2,5
15,4500,CMA,2,0
15,4500,MetaModel,3,3
15,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
15,4500,ChainMetaModelPowell,3,1
15,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
20,4500,CMA,2,0
20,4500,MetaModel,3,3
20,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
20,4500,ChainMetaModelPowell,3,1
20,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
25,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
25,4500,ChainMetaModelPowell,2,1
25,4500,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
25,4500,MetaModel,2,3
25,4500,CMA,ngopt_5,0
30,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
30,4500,ChainMetaModelPowell,2,1
30,4500,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
30,4500,MetaModel,2,3
30,4500,CMA,ngopt_5,0
35,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
35,4500,Cobyla,2,2
35,4500,ChainMetaModelPowell,3,1
35,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
35,4500,CMA,ngopt_7,0
40,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
40,4500,Cobyla,2,2
40,4500,ChainMetaModelPowell,3,1
40,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
40,4500,CMA,ngopt_3,0
45,4500,Cobyla,1,2
45,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
45,4500,ChainMetaModelPowell,3,1
45,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
45,4500,CMA,ngopt_3,0
50,4500,Cobyla,1,2
50,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
50,4500,CMA,3,0
50,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
50,4500,MetaModelOnePlusOne,ngopt_7,4
60,4500,Cobyla,1,2
60,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
60,4500,CMA,4,0
60,4500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
60,4500,MetaModelOnePlusOne,ngopt_3,4
70,4500,Cobyla,1,2
70,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
70,4500,CMA,3,0
70,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
70,4500,MetaModelOnePlusOne,ngopt_7,4
80,4500,Cobyla,1,2
80,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
80,4500,CMA,4,0
80,4500,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
80,4500,MetaModelOnePlusOne,ngopt_3,4
90,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
90,4500,CMA,3,0
90,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
90,4500,ChainMetaModelPowell,3,1
90,4500,Cobyla,ngopt_1,2
100,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
100,4500,CMA,3,0
100,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
100,4500,ChainMetaModelPowell,3,1
100,4500,Cobyla,ngopt_1,2
2,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
2,5000,ChainMetaModelPowell,2,1
2,5000,MetaModel,2,3
2,5000,CMA,4,0
2,5000,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,ngopt_26,28
3,5000,ChainMetaModelPowell,1,1
3,5000,MetaModel,1,3
3,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,5
3,5000,CMA,4,0
3,5000,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,ngopt_13,32
5,5000,CMA,1,0
5,5000,ConfPortfolio_scale2_NA_ngopt14s_1,1,38
5,5000,MetaModel,3,3
5,5000,ChainMetaModelPowell,3,1
5,5000,ConfPortfolio_scale2_NA_ngopt14s_9,ngopt_26,9
10,5000,CMA,1,0
10,5000,MetaModel,2,3
10,5000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
10,5000,ChainMetaModelPowell,2,1
10,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_5,5
15,5000,CMA,2,0
15,5000,MetaModel,3,3
15,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
15,5000,ChainMetaModelPowell,3,1
15,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
20,5000,CMA,2,0
20,5000,MetaModel,2,3
20,5000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
20,5000,ChainMetaModelPowell,2,1
20,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_1,5
25,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
25,5000,ChainMetaModelPowell,3,1
25,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
25,5000,MetaModel,3,3
25,5000,CMA,ngopt_2,0
30,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
30,5000,ChainMetaModelPowell,2,1
30,5000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
30,5000,MetaModel,2,3
30,5000,CMA,ngopt_5,0
35,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
35,5000,ChainMetaModelPowell,2,1
35,5000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
35,5000,MetaModel,2,3
35,5000,CMA,ngopt_6,0
40,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
40,5000,Cobyla,2,2
40,5000,ChainMetaModelPowell,3,1
40,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
40,5000,CMA,ngopt_3,0
45,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
45,5000,Cobyla,2,2
45,5000,ChainMetaModelPowell,3,1
45,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
45,5000,CMA,ngopt_3,0
50,5000,Cobyla,1,2
50,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
50,5000,ChainMetaModelPowell,3,1
50,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
50,5000,CMA,ngopt_3,0
60,5000,Cobyla,1,2
60,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
60,5000,CMA,3,0
60,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
60,5000,MetaModelOnePlusOne,ngopt_7,4
70,5000,Cobyla,1,2
70,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
70,5000,CMA,3,0
70,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
70,5000,MetaModelOnePlusOne,ngopt_7,4
80,5000,Cobyla,1,2
80,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
80,5000,CMA,4,0
80,5000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
80,5000,MetaModelOnePlusOne,ngopt_3,4
90,5000,Cobyla,1,2
90,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
90,5000,CMA,3,0
90,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
90,5000,MetaModelOnePlusOne,ngopt_7,4
100,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
100,5000,CMA,3,0
100,5000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
100,5000,ChainMetaModelPowell,3,1
100,5000,Cobyla,ngopt_1,2
2,6000,ChainMetaModelPowell,1,1
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,2,21
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,3,19
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,4,22
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,ngopt_11,26
3,6000,ChainMetaModelPowell,1,1
3,6000,MetaModel,2,3
3,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,5
3,6000,CMA,4,0
3,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,ngopt_12,30
5,6000,ChainMetaModelPowell,1,1
5,6000,MetaModel,2,3
5,6000,CMA,3,0
5,6000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
5,6000,ConfPortfolio_scale2_NA_ngopt14s_9,ngopt_30,9
10,6000,CMA,1,0
10,6000,MetaModel,2,3
10,6000,ChainMetaModelPowell,3,1
10,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),5,5
10,6000,ConfPortfolio_scale2_NA_ngopt14s_1,ngopt_3,38
15,6000,CMA,1,0
15,6000,MetaModel,2,3
15,6000,ConfPortfolio_scale2_NA_ngopt14s_1,4,38
15,6000,ChainMetaModelPowell,4,1
15,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_3,5
20,6000,ConfPortfolio_scale2_NA_ngopt14s_1,1,38
20,6000,ChainMetaModelPowell,1,1
20,6000,CMA,3,0
20,6000,MetaModel,4,3
20,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),ngopt_5,5
25,6000,ChainMetaModelPowell,1,1
25,6000,ConfPortfolio_scale2_NA_ngopt14s_1,1,38
25,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,5
25,6000,MetaModel,4,3
25,6000,CMA,ngopt_5,0
30,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
30,6000,ChainMetaModelPowell,2,1
30,6000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
30,6000,MetaModel,4,3
30,6000,CMA,ngopt_5,0
35,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
35,6000,ChainMetaModelPowell,2,1
35,6000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
35,6000,MetaModel,4,3
35,6000,CMA,ngopt_5,0
40,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
40,6000,ChainMetaModelPowell,2,1
40,6000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
40,6000,MetaModel,4,3
40,6000,CMA,ngopt_6,0
45,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
45,6000,ChainMetaModelPowell,2,1
45,6000,ConfPortfolio_scale2_NA_ngopt14s_1,2,38
45,6000,Cobyla,4,2
45,6000,CMA,ngopt_5,0
50,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,5
50,6000,Cobyla,2,2
50,6000,ChainMetaModelPowell,3,1
50,6000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
50,6000,CMA,ngopt_5,0
60,6000,Cobyla,1,2
60,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
60,6000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
60,6000,ChainMetaModelPowell,3,1
60,6000,MetaModelOnePlusOne,ngopt_7,4
70,6000,Cobyla,1,2
70,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
70,6000,CMA,3,0
70,6000,MetaModel,3,3
70,6000,MetaModelOnePlusOne,ngopt_7,4
80,6000,Cobyla,1,2
80,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
80,6000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
80,6000,ChainMetaModelPowell,3,1
80,6000,MetaModelOnePlusOne,ngopt_5,4
90,6000,Cobyla,1,2
90,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
90,6000,ConfPortfolio_scale2_NA_ngopt14s_1,3,38
90,6000,ChainMetaModelPowell,3,1
90,6000,MetaModelOnePlusOne,ngopt_5,4
100,6000,Cobyla,1,2
100,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,5
